id;created;appointement_date;start_date;end_date;title;description;status;status_change_date;commentary;manager_id;advisor_id
1;2021-08-20T22:34:37;2021-08-21;2021-08-21T03:18:12;2021-08-21T18:04:17;tangible;USB Kids;APPROVED;2021-08-21T03:24:26;Monsieur-le-Prince c;1;1
2;2021-08-21T05:58:31;2021-08-21;2021-08-21T00:45:37;2021-08-21T14:01:40;invoice c Speci;Russie cross-media;REPORTED;2021-08-21T10:44:27;transmitting Centre;2;2
3;2021-08-21T01:21:32;2021-08-21;2021-08-21T10:17:15;2021-08-21T13:33:08;web-readiness B;Car;REPORTED;2021-08-21T12:38:26;Shoes Unbranded redundant;1;1
4;2021-08-20T23:58:13;2021-08-21;2021-08-21T15:05:04;2021-08-21T15:26:29;Buckinghamshire;b;REPORTED;2021-08-20T22:50:13;bandwidth Limousin;2;2
5;2021-08-21T11:03:03;2021-08-21;2021-08-21T11:23:34;2021-08-21T11:40:09;Loan;compelling transmit Unbranded;REJECTED;2021-08-21T16:44:23;Avon matrices;2;2
6;2021-08-21T10:16:19;2021-08-21;2021-08-21T02:00:38;2021-08-21T18:03:38;port Saint-Séve;Corse Tasty multi-byte;REPORTED;2021-08-21T07:42:53;architectures;1;2
7;2021-08-21T17:58:30;2021-08-21;2021-08-21T15:45:46;2021-08-20T18:58:57;complexity Baby;Bedfordshire;REPORTED;2021-08-21T13:58:33;Developpeur;2;2
8;2021-08-21T05:15:41;2021-08-21;2021-08-21T07:09:23;2021-08-20T20:17:19;Victoire Domini;invoice des;APPROVED;2021-08-21T16:38:59;Realigned;2;2
9;2021-08-21T02:11:22;2021-08-21;2021-08-21T15:50:41;2021-08-21T13:10:14;blue Shirt Lice;PNG d'Azur;CANCELLED;2021-08-21T16:01:40;Developpeur XML emulation;2;1
10;2021-08-20T19:21:59;2021-08-21;2021-08-21T15:10:01;2021-08-21T16:09:19;maroon;collaboration;REPORTED;2021-08-21T02:31:38;neural violet Charlemagne;1;2
